,sectors,industries,num_observations
2626,[np.float32(4.0)],"[np.float32(14.0), np.float32(31.0)]",748
2627,[np.float32(7.0)],[np.float32(18.0)],749
2631,[np.float32(4.0)],"[np.float32(10.0), np.float32(56.0)]",591
2632,[np.float32(4.0)],[np.float32(10.0)],261
2633,[np.float32(2.0)],[np.float32(39.0)],751
2634,[np.float32(11.0)],[np.float32(64.0)],364
2635,[np.float32(3.0)],[np.float32(24.0)],747
2636,[np.float32(7.0)],[np.float32(8.0)],747
2637,[np.float32(11.0)],[np.float32(15.0)],748
2641,[np.float32(2.0)],[np.float32(39.0)],749
2644,[np.float32(11.0)],[np.float32(64.0)],751
2646,[np.float32(3.0)],[np.float32(60.0)],745
2647,[np.float32(3.0)],[np.float32(6.0)],718
2650,[np.float32(8.0)],[np.float32(21.0)],749
2652,[np.float32(3.0)],[np.float32(60.0)],750
2653,[np.float32(2.0)],[np.float32(46.0)],332
2654,[np.float32(2.0)],[np.float32(46.0)],749
2655,[np.float32(4.0)],[np.float32(10.0)],3
2656,[np.float32(4.0)],[np.float32(56.0)],38
2657,[np.float32(4.0)],[np.float32(30.0)],589
2659,[np.float32(3.0)],[np.float32(60.0)],750
2660,[np.float32(4.0)],[np.float32(31.0)],680
2662,[np.float32(4.0)],[np.float32(31.0)],41
2663,[np.float32(1.0)],[np.float32(12.0)],747
2665,[np.float32(4.0)],[np.float32(56.0)],83
2666,[np.float32(4.0)],[np.float32(10.0)],171
2669,[np.float32(4.0)],[np.float32(30.0)],30
2670,[np.float32(7.0)],[np.float32(8.0)],742
2672,[np.float32(4.0)],[np.float32(56.0)],238
2675,[np.float32(3.0)],[np.float32(60.0)],748
2676,[np.float32(7.0)],[np.float32(18.0)],445
2677,[np.float32(2.0)],[np.float32(39.0)],396
2679,[np.float32(11.0)],[np.float32(64.0)],711
2680,[np.float32(11.0)],[np.float32(64.0)],750
2682,[np.float32(4.0)],[np.float32(10.0)],82
2683,[np.float32(11.0)],[np.float32(62.0)],750
2684,[np.float32(2.0)],[np.float32(66.0)],8
2685,[np.float32(11.0)],[np.float32(64.0)],730
2686,[np.float32(8.0)],[np.float32(69.0)],379
2687,[np.float32(4.0)],"[np.float32(10.0), np.float32(56.0)]",748
2688,"[np.float32(3.0), np.float32(11.0)]","[np.float32(15.0), np.float32(60.0)]",229
2689,[np.float32(3.0)],[np.float32(42.0)],477
2691,[np.float32(3.0)],[np.float32(60.0)],750
2692,[np.float32(11.0)],[np.float32(64.0)],32
2693,[np.float32(4.0)],[np.float32(31.0)],346
2694,[np.float32(4.0)],[np.float32(10.0)],99
2695,[np.float32(4.0)],[np.float32(10.0)],709
2696,[np.float32(6.0)],[np.float32(22.0)],140
2697,[np.float32(8.0)],[np.float32(11.0)],690
2698,[np.float32(6.0)],[np.float32(22.0)],750
2699,[np.float32(2.0)],[np.float32(39.0)],749
2700,[np.float32(8.0)],[np.float32(45.0)],411
2701,[np.float32(3.0)],[np.float32(24.0)],745
2702,[np.float32(4.0)],[np.float32(10.0)],21
2703,[np.float32(2.0)],[np.float32(39.0)],750
2704,[np.float32(4.0)],[np.float32(10.0)],48
2705,[np.float32(3.0)],[np.float32(60.0)],156
2706,[np.float32(7.0)],[np.float32(18.0)],622
2707,[np.float32(6.0)],[np.float32(22.0)],292
2708,[np.float32(4.0)],[np.float32(10.0)],185
2709,[np.float32(4.0)],[np.float32(10.0)],749
2711,[np.float32(4.0)],[np.float32(56.0)],160
2712,[np.float32(12.0)],[np.float32(19.0)],701
2714,[np.float32(2.0)],[np.float32(39.0)],261
2715,[np.float32(2.0)],[np.float32(39.0)],748
2716,[np.float32(11.0)],[np.float32(64.0)],410
2718,[np.float32(2.0)],[np.float32(46.0)],751
2719,[np.float32(8.0)],[np.float32(20.0)],446
2720,[np.float32(3.0)],[np.float32(60.0)],751
2722,[np.float32(4.0)],[np.float32(9.0)],748
2725,[np.float32(8.0)],[np.float32(21.0)],8
2726,[np.float32(3.0)],[np.float32(17.0)],627
2727,[np.float32(1.0)],[np.float32(12.0)],746
2729,[np.float32(8.0)],[np.float32(55.0)],750
2730,[np.float32(4.0)],[np.float32(30.0)],675
2731,[np.float32(4.0)],[np.float32(30.0)],442
2733,[np.float32(4.0)],[np.float32(14.0)],746
2734,[np.float32(4.0)],[np.float32(14.0)],176
2735,[np.float32(11.0)],[np.float32(64.0)],209
2736,[np.float32(4.0)],[np.float32(56.0)],81
2737,[np.float32(8.0)],[np.float32(23.0)],751
2738,[np.float32(4.0)],[np.float32(31.0)],748
2739,[np.float32(4.0)],[np.float32(30.0)],749
2740,[np.float32(1.0)],[np.float32(48.0)],730
2741,[np.float32(4.0)],[np.float32(26.0)],740
2742,[np.float32(4.0)],[np.float32(14.0)],749
2743,[np.float32(3.0)],[np.float32(60.0)],750
2744,[np.float32(11.0)],[np.float32(15.0)],749
2745,[np.float32(8.0)],[np.float32(69.0)],100
2747,[np.float32(11.0)],[np.float32(15.0)],748
2748,[np.float32(7.0)],[np.float32(8.0)],191
2749,[np.float32(8.0)],[np.float32(69.0)],241
2750,[np.float32(4.0)],[np.float32(10.0)],93
2751,[np.float32(8.0)],[np.float32(25.0)],11
2752,[np.float32(2.0)],[np.float32(39.0)],749
2753,[np.float32(7.0)],[np.float32(18.0)],86
2754,[np.float32(6.0)],[np.float32(22.0)],747
2757,[np.float32(3.0)],[np.float32(42.0)],750
2758,[np.float32(4.0)],[np.float32(10.0)],438
2759,[np.float32(7.0)],[np.float32(18.0)],750
2760,[np.float32(4.0)],[np.float32(14.0)],433
2761,[np.float32(8.0)],[np.float32(45.0)],54
2762,[np.float32(3.0)],[np.float32(24.0)],636
2764,[np.float32(4.0)],[np.float32(30.0)],749
2765,[np.float32(7.0)],[np.float32(18.0)],3
2766,[np.float32(7.0)],[np.float32(18.0)],718
2768,[np.float32(4.0)],[np.float32(26.0)],745
2769,[np.float32(4.0)],[np.float32(31.0)],333
2770,[np.float32(4.0)],[np.float32(30.0)],749
2771,[np.float32(2.0)],[np.float32(39.0)],750
2772,[np.float32(2.0)],[np.float32(39.0)],751
2773,[np.float32(11.0)],[np.float32(15.0)],746
2775,[np.float32(4.0)],[np.float32(30.0)],655
2776,[np.float32(11.0)],[np.float32(15.0)],743
2777,[np.float32(3.0)],[np.float32(6.0)],749
2778,[np.float32(4.0)],[np.float32(10.0)],100
2779,[np.float32(3.0)],[np.float32(34.0)],296
2783,"[np.float32(4.0), np.float32(8.0)]","[np.float32(14.0), np.float32(23.0)]",747
2784,[np.float32(4.0)],[np.float32(56.0)],80
2788,[np.float32(4.0)],[np.float32(10.0)],749
2789,[np.float32(2.0)],[np.float32(39.0)],326
2791,[np.float32(4.0)],[np.float32(14.0)],750
2792,[np.float32(4.0)],[np.float32(26.0)],606
2793,[np.float32(11.0)],[np.float32(64.0)],469
2794,[np.float32(12.0)],[np.float32(19.0)],745
2796,[np.float32(1.0)],[np.float32(48.0)],40
2798,[np.float32(4.0)],[np.float32(26.0)],263
2799,[np.float32(3.0)],[np.float32(6.0)],252
2800,[np.float32(6.0)],[np.float32(22.0)],17
2801,[np.float32(1.0)],[np.float32(12.0)],79
2804,[np.float32(4.0)],[np.float32(10.0)],751
2805,[np.float32(4.0)],[np.float32(10.0)],541
2807,[np.float32(8.0)],[np.float32(45.0)],267
2808,[np.float32(4.0)],[np.float32(10.0)],155
2809,[np.float32(11.0)],[np.float32(15.0)],238
2810,[np.float32(3.0)],[np.float32(5.0)],740
2813,[np.float32(3.0)],[np.float32(24.0)],624
2814,[np.float32(1.0)],[np.float32(12.0)],106
2815,[np.float32(4.0)],"[np.float32(10.0), np.float32(56.0)]",750
2817,[np.float32(3.0)],[np.float32(17.0)],750
2819,[np.float32(8.0)],[np.float32(49.0)],750
2820,[np.float32(2.0)],[np.float32(46.0)],750
2823,[np.float32(4.0)],[np.float32(56.0)],492
2824,[np.float32(4.0)],[np.float32(26.0)],744
2825,[np.float32(4.0)],[np.float32(9.0)],747
2826,[np.float32(8.0)],[np.float32(21.0)],715
2827,[np.float32(8.0)],[np.float32(21.0)],750
2829,[np.float32(11.0)],[np.float32(64.0)],750
2830,[np.float32(4.0)],[np.float32(14.0)],77
2831,[np.float32(4.0)],[np.float32(14.0)],650
2835,[np.float32(11.0)],[np.float32(62.0)],445
2836,[np.float32(6.0)],[np.float32(22.0)],269
2838,[np.float32(4.0)],[np.float32(10.0)],28
2839,[np.float32(7.0)],[np.float32(38.0)],631
2840,[np.float32(11.0)],[np.float32(64.0)],53
2841,[np.float32(7.0)],[np.float32(8.0)],39
2842,[np.float32(3.0)],[np.float32(60.0)],108
2843,[np.float32(11.0)],[np.float32(62.0)],41
2844,[np.float32(4.0)],[np.float32(30.0)],15
2845,[np.float32(4.0)],[np.float32(31.0)],751
2846,[np.float32(4.0)],[np.float32(56.0)],196
2847,[np.float32(11.0)],[np.float32(64.0)],476
2849,[np.float32(1.0)],[np.float32(12.0)],748
2850,[np.float32(2.0)],[np.float32(1.0)],751
2851,[np.float32(4.0)],[np.float32(16.0)],329
2853,[np.float32(1.0)],[np.float32(12.0)],724
2854,[np.float32(4.0)],[np.float32(31.0)],393
2855,[np.float32(11.0)],[np.float32(64.0)],27
2856,[np.float32(11.0)],[np.float32(64.0)],746
2857,[np.float32(6.0)],[np.float32(13.0)],568
2858,[np.float32(11.0)],[np.float32(64.0)],537
2859,[np.float32(8.0)],[np.float32(23.0)],27
2860,[np.float32(3.0)],[np.float32(42.0)],744
2861,[np.float32(6.0)],[np.float32(53.0)],641
2863,[np.float32(12.0)],[np.float32(19.0)],484
2864,[np.float32(3.0)],[np.float32(7.0)],749
2865,[np.float32(3.0)],[np.float32(60.0)],746
2866,[np.float32(4.0)],[np.float32(10.0)],748
2867,[np.float32(4.0)],[np.float32(30.0)],704
2869,[np.float32(4.0)],[np.float32(56.0)],131
2870,[np.float32(8.0)],[np.float32(69.0)],741
2871,[np.float32(11.0)],[np.float32(64.0)],749
2873,[np.float32(1.0)],[np.float32(48.0)],746
2874,[np.float32(8.0)],[np.float32(2.0)],746
2875,[np.float32(4.0)],[np.float32(26.0)],748
2876,[np.float32(2.0)],[np.float32(66.0)],604
2879,[np.float32(2.0)],[np.float32(66.0)],115
2880,[np.float32(2.0)],[np.float32(39.0)],35
2881,[np.float32(8.0)],[np.float32(69.0)],311
2882,[np.float32(12.0)],[np.float32(19.0)],609
2884,[np.float32(8.0)],[np.float32(44.0)],30
2885,[np.float32(7.0)],[np.float32(38.0)],204
2888,[np.float32(3.0)],[np.float32(43.0)],712
2891,[np.float32(6.0)],[np.float32(53.0)],57
2893,[np.float32(4.0)],[np.float32(26.0)],66
2895,[np.float32(6.0)],[np.float32(54.0)],731
2896,[np.float32(6.0)],[np.float32(54.0)],368
2899,[np.float32(8.0)],[np.float32(11.0)],173
2901,"[np.float32(8.0), np.float32(12.0)]","[np.float32(23.0), np.float32(28.0)]",699
2902,[np.float32(3.0)],[np.float32(60.0)],751
2903,[np.float32(4.0)],[np.float32(14.0)],21
2907,[np.float32(7.0)],[np.float32(18.0)],57
2908,[np.float32(2.0)],[np.float32(39.0)],744
2909,[np.float32(4.0)],[np.float32(56.0)],37
2910,[np.float32(11.0)],[np.float32(15.0)],745
2911,[np.float32(3.0)],[np.float32(5.0)],586
2914,[np.float32(11.0)],[np.float32(64.0)],749
2915,[np.float32(11.0)],[np.float32(64.0)],238
2916,[np.float32(6.0)],[np.float32(13.0)],650
2917,[np.float32(8.0)],[np.float32(69.0)],55
2918,[np.float32(2.0)],[np.float32(39.0)],750
2919,[np.float32(3.0)],[np.float32(4.0)],545
2921,[np.float32(7.0)],[np.float32(8.0)],111
2922,[np.float32(6.0)],[np.float32(13.0)],452
2926,[np.float32(4.0)],[np.float32(31.0)],83
2927,[np.float32(3.0)],[np.float32(60.0)],749
2929,[np.float32(11.0)],[np.float32(64.0)],170
2930,[np.float32(3.0)],[np.float32(60.0)],726
2932,"[np.float32(2.0), np.float32(4.0)]","[np.float32(1.0), np.float32(31.0)]",42
2933,[np.float32(4.0)],[np.float32(10.0)],32
2934,[np.float32(6.0)],[np.float32(53.0)],632
2936,[np.float32(6.0)],[np.float32(57.0)],736
2937,[np.float32(4.0)],[np.float32(10.0)],437
2938,[np.float32(4.0)],[np.float32(10.0)],103
2940,[np.float32(12.0)],[np.float32(19.0)],741
2941,[np.float32(8.0)],[np.float32(45.0)],749
2942,[np.float32(11.0)],[np.float32(64.0)],91
2943,[np.float32(4.0)],[np.float32(56.0)],156
2944,[np.float32(4.0)],[np.float32(10.0)],750
2946,[np.float32(4.0)],[np.float32(9.0)],751
2947,[np.float32(11.0)],[np.float32(62.0)],179
2948,[np.float32(11.0)],[np.float32(64.0)],414
2949,[np.float32(7.0)],[np.float32(18.0)],744
2950,[np.float32(3.0)],[np.float32(7.0)],62
2951,[np.float32(2.0)],[np.float32(46.0)],481
2952,[np.float32(7.0)],[np.float32(8.0)],746
2953,[np.float32(4.0)],[np.float32(10.0)],64
2954,[np.float32(4.0)],[np.float32(26.0)],14
2955,[np.float32(6.0)],[np.float32(53.0)],706
2956,[np.float32(6.0)],[np.float32(53.0)],588
2957,[np.float32(6.0)],[np.float32(54.0)],743
2958,[np.float32(4.0)],[np.float32(26.0)],570
2959,[np.float32(4.0)],[np.float32(30.0)],28
2960,[np.float32(7.0)],[np.float32(38.0)],748
2963,[np.float32(4.0)],[np.float32(3.0)],744
2964,[np.float32(7.0)],[np.float32(59.0)],668
2965,[np.float32(6.0)],[np.float32(54.0)],246
2967,[np.float32(4.0)],"[np.float32(10.0), np.float32(30.0)]",159
2968,[np.float32(1.0)],[np.float32(48.0)],272
2970,[np.float32(1.0)],[np.float32(12.0)],736
2971,[np.float32(4.0)],[np.float32(10.0)],134
2972,[np.float32(4.0)],[np.float32(10.0)],570
2973,[np.float32(3.0)],[np.float32(6.0)],129
2974,[np.float32(4.0)],[np.float32(10.0)],79
2975,[np.float32(2.0)],[np.float32(39.0)],749
2976,[np.float32(2.0)],[np.float32(39.0)],114
2977,[np.float32(3.0)],[np.float32(42.0)],531
2978,[np.float32(11.0)],[np.float32(64.0)],657
2979,[np.float32(4.0)],[np.float32(56.0)],81
2980,[np.float32(2.0)],[np.float32(66.0)],470
2981,[np.float32(2.0)],[np.float32(39.0)],660
2983,[np.float32(11.0)],[np.float32(64.0)],751
2984,"[np.float32(2.0), np.float32(11.0)]","[np.float32(39.0), np.float32(64.0)]",748
2985,[np.float32(3.0)],[np.float32(60.0)],745
2987,[np.float32(11.0)],[np.float32(64.0)],138
2988,[np.float32(7.0)],[np.float32(8.0)],665
2989,"[np.float32(8.0), np.float32(12.0)]","[np.float32(19.0), np.float32(25.0)]",596
2990,[np.float32(3.0)],[np.float32(68.0)],80
2991,[np.float32(11.0)],[np.float32(62.0)],314
2992,[np.float32(4.0)],[np.float32(10.0)],749
2994,[np.float32(11.0)],[np.float32(64.0)],332
2995,[np.float32(6.0)],[np.float32(13.0)],439
2997,[np.float32(11.0)],[np.float32(64.0)],406
2998,[np.float32(2.0)],[np.float32(39.0)],431
2999,"[np.float32(3.0), np.float32(7.0)]","[np.float32(40.0), np.float32(60.0)]",193
3001,[np.float32(4.0)],[np.float32(10.0)],43
3002,[np.float32(4.0)],[np.float32(30.0)],125
3003,[np.float32(11.0)],[np.float32(64.0)],190
3004,[np.float32(4.0)],[np.float32(10.0)],512
3005,[np.float32(4.0)],[np.float32(14.0)],5
3007,[np.float32(7.0)],[np.float32(59.0)],138
3008,[np.float32(7.0)],[np.float32(18.0)],65
3009,[np.float32(2.0)],[np.float32(39.0)],37
3010,[np.float32(1.0)],[np.float32(12.0)],747
3011,[np.float32(11.0)],[np.float32(15.0)],22
3012,[np.float32(6.0)],[np.float32(54.0)],492
3013,[np.float32(3.0)],[np.float32(24.0)],749
3014,[np.float32(11.0)],[np.float32(64.0)],307
3015,[np.float32(4.0)],[np.float32(14.0)],359
3016,[np.float32(6.0)],[np.float32(54.0)],38
3017,[np.float32(7.0)],[np.float32(18.0)],746
3019,[np.float32(1.0)],[np.float32(48.0)],661
3020,[np.float32(4.0)],[np.float32(10.0)],181
3023,[np.float32(8.0)],[np.float32(45.0)],455
3024,[np.float32(11.0)],[np.float32(64.0)],370
3025,[np.float32(8.0)],"[np.float32(20.0), np.float32(44.0)]",417
3026,[np.float32(6.0)],[np.float32(53.0)],213
3027,[np.float32(4.0)],[np.float32(35.0)],142
3029,[np.float32(4.0)],[np.float32(56.0)],85
3031,[np.float32(4.0)],[np.float32(10.0)],281
3032,[np.float32(11.0)],[np.float32(15.0)],750
3033,[np.float32(7.0)],[np.float32(18.0)],251
3034,[np.float32(11.0)],[np.float32(64.0)],746
3035,"[np.float32(2.0), np.float32(11.0)]","[np.float32(39.0), np.float32(64.0)]",750
3036,[np.float32(8.0)],[np.float32(21.0)],747
3037,[np.float32(2.0)],[np.float32(39.0)],503
3038,[np.float32(2.0)],[np.float32(39.0)],750
3039,[np.float32(11.0)],[np.float32(62.0)],751
3040,[np.float32(11.0)],[np.float32(64.0)],74
3041,[np.float32(8.0)],[np.float32(21.0)],747
3042,[np.float32(11.0)],[np.float32(62.0)],627
3043,[np.float32(8.0)],[np.float32(45.0)],346
3045,[np.float32(11.0)],[np.float32(64.0)],748
3046,[np.float32(6.0)],[np.float32(54.0)],748
3047,[np.float32(11.0)],[np.float32(64.0)],749
3048,[np.float32(7.0)],[np.float32(38.0)],248
3049,[np.float32(11.0)],[np.float32(64.0)],748
3050,[np.float32(4.0)],[np.float32(30.0)],750
3051,[np.float32(3.0)],[np.float32(68.0)],54
3055,[np.float32(1.0)],[np.float32(48.0)],89
3056,[np.float32(6.0)],[np.float32(53.0)],437
3057,[np.float32(7.0)],[np.float32(38.0)],748
3058,[np.float32(11.0)],[np.float32(64.0)],287
3059,[np.float32(11.0)],[np.float32(64.0)],29
3060,[np.float32(7.0)],[np.float32(59.0)],447
3061,[np.float32(3.0)],[np.float32(43.0)],744
3062,[np.float32(4.0)],[np.float32(14.0)],53
3063,[np.float32(4.0)],[np.float32(56.0)],357
3064,[np.float32(11.0)],[np.float32(15.0)],25
3065,[np.float32(12.0)],[np.float32(19.0)],746
3066,[np.float32(3.0)],[np.float32(7.0)],151
3067,[np.float32(3.0)],[np.float32(6.0)],431
3068,"[np.float32(4.0), np.float32(11.0)]","[np.float32(14.0), np.float32(64.0)]",451
3069,[np.float32(3.0)],[np.float32(60.0)],43
3070,[np.float32(3.0)],[np.float32(34.0)],218
3071,[np.float32(3.0)],[np.float32(60.0)],749
3074,[np.float32(4.0)],[np.float32(10.0)],130
3075,[np.float32(11.0)],[np.float32(64.0)],309
3076,[np.float32(4.0)],[np.float32(14.0)],53
3077,[np.float32(4.0)],[np.float32(10.0)],53
3078,[np.float32(4.0)],[np.float32(10.0)],263
3080,[np.float32(4.0)],[np.float32(56.0)],355
3081,[np.float32(8.0)],[np.float32(44.0)],749
3082,[np.float32(7.0)],[np.float32(18.0)],430
3083,[np.float32(2.0)],[np.float32(39.0)],749
3084,[np.float32(11.0)],[np.float32(15.0)],749
3085,[np.float32(11.0)],[np.float32(15.0)],246
3086,[np.float32(2.0)],[np.float32(39.0)],35
3087,[np.float32(8.0)],[np.float32(44.0)],743
3088,[np.float32(4.0)],[np.float32(56.0)],214
3089,[np.float32(7.0)],[np.float32(59.0)],430
3090,[np.float32(3.0)],[np.float32(34.0)],747
3091,[np.float32(3.0)],[np.float32(6.0)],73
3093,[np.float32(4.0)],[np.float32(26.0)],248
3094,[np.float32(3.0)],[np.float32(6.0)],746
3095,[np.float32(8.0)],[np.float32(23.0)],453
3098,[np.float32(2.0)],[np.float32(39.0)],131
3099,[np.float32(4.0)],[np.float32(56.0)],744
3100,[np.float32(4.0)],[np.float32(30.0)],211
3101,[np.float32(2.0)],[np.float32(39.0)],602
3102,[np.float32(11.0)],[np.float32(64.0)],213
3103,[np.float32(4.0)],[np.float32(56.0)],461
3104,[np.float32(3.0)],[np.float32(6.0)],704
3105,[np.float32(2.0)],[np.float32(39.0)],557
3106,[np.float32(4.0)],[np.float32(10.0)],748
3107,[np.float32(4.0)],[np.float32(10.0)],318
3108,[np.float32(11.0)],[np.float32(64.0)],750
3109,[np.float32(4.0)],[np.float32(10.0)],304
3110,[np.float32(1.0)],"[np.float32(12.0), np.float32(48.0)]",748
3111,[np.float32(2.0)],[np.float32(39.0)],366
3112,[np.float32(3.0)],[np.float32(17.0)],355
3113,[np.float32(3.0)],[np.float32(42.0)],182
3114,[np.float32(11.0)],[np.float32(64.0)],78
3115,[np.float32(4.0)],[np.float32(56.0)],265
3116,[np.float32(4.0)],[np.float32(14.0)],744
3117,[np.float32(3.0)],[np.float32(42.0)],747
3118,[np.float32(3.0)],[np.float32(7.0)],201
3120,[np.float32(4.0)],[np.float32(30.0)],748
3121,[np.float32(6.0)],[np.float32(57.0)],731
3122,[np.float32(1.0)],[np.float32(12.0)],540
3123,[np.float32(4.0)],[np.float32(10.0)],724
3124,[np.float32(7.0)],[np.float32(18.0)],644
3125,[np.float32(4.0)],[np.float32(56.0)],72
3126,[np.float32(6.0)],[np.float32(13.0)],467
3128,[np.float32(8.0)],[np.float32(29.0)],8
3129,[np.float32(4.0)],[np.float32(10.0)],751
3131,[np.float32(2.0)],[np.float32(39.0)],560
3132,[np.float32(7.0)],[np.float32(18.0)],400
3133,[np.float32(4.0)],[np.float32(56.0)],750
3134,[np.float32(4.0)],[np.float32(56.0)],735
3135,[np.float32(11.0)],[np.float32(15.0)],738
3136,[np.float32(2.0)],[np.float32(66.0)],454
3137,"[np.float32(5.0), np.float32(6.0)]","[np.float32(22.0), np.float32(32.0)]",20
3138,[np.float32(6.0)],[np.float32(57.0)],671
3139,[np.float32(4.0)],[np.float32(56.0)],179
3140,[np.float32(4.0)],[np.float32(56.0)],47
3143,[np.float32(4.0)],[np.float32(3.0)],96
3144,[np.float32(3.0)],[np.float32(24.0)],22
3145,[np.float32(4.0)],[np.float32(30.0)],751
3146,[np.float32(7.0)],[np.float32(18.0)],751
3147,[np.float32(2.0)],[np.float32(46.0)],748
3148,[np.float32(2.0)],[np.float32(46.0)],749
3149,[np.float32(1.0)],[np.float32(12.0)],743
3150,[np.float32(7.0)],[np.float32(18.0)],256
3151,[np.float32(3.0)],[np.float32(5.0)],743
3152,[np.float32(3.0)],[np.float32(7.0)],686
3153,"[np.float32(3.0), np.float32(5.0)]","[np.float32(7.0), np.float32(32.0)]",106
3154,[np.float32(1.0)],[np.float32(12.0)],388
3155,[np.float32(4.0)],[np.float32(30.0)],750
3156,[np.float32(2.0)],[np.float32(39.0)],744
3157,[np.float32(3.0)],[np.float32(24.0)],260
3158,[np.float32(3.0)],[np.float32(7.0)],203
3159,[np.float32(4.0)],[np.float32(30.0)],236
3160,[np.float32(7.0)],[np.float32(18.0)],746
3161,[np.float32(4.0)],[np.float32(30.0)],748
3162,[np.float32(11.0)],[np.float32(64.0)],745
3163,[np.float32(2.0)],[np.float32(39.0)],443
3164,[np.float32(6.0)],[np.float32(22.0)],79
3165,[np.float32(3.0)],[np.float32(6.0)],233
3166,[np.float32(3.0)],[np.float32(6.0)],227
3167,[np.float32(7.0)],[np.float32(38.0)],95
3168,[np.float32(4.0)],[np.float32(10.0)],344
3169,[np.float32(2.0)],[np.float32(39.0)],750
3170,[np.float32(11.0)],[np.float32(64.0)],749
3171,[np.float32(3.0)],[np.float32(6.0)],260
3172,[np.float32(4.0)],[np.float32(26.0)],749
3173,[np.float32(4.0)],"[np.float32(10.0), np.float32(30.0)]",294
3174,[np.float32(11.0)],[np.float32(15.0)],261
3175,[np.float32(11.0)],[np.float32(15.0)],227
3176,[np.float32(3.0)],[np.float32(60.0)],117
3177,[np.float32(4.0)],[np.float32(10.0)],43
3178,[np.float32(3.0)],[np.float32(5.0)],520
3179,[np.float32(2.0)],[np.float32(39.0)],747
3180,"[np.float32(4.0), np.float32(11.0)]","[np.float32(14.0), np.float32(64.0)]",741
3181,[np.float32(4.0)],[np.float32(30.0)],741
3182,[np.float32(11.0)],[np.float32(64.0)],747
3184,[np.float32(4.0)],[np.float32(10.0)],19
3185,[np.float32(4.0)],[np.float32(10.0)],748
3186,[np.float32(11.0)],[np.float32(64.0)],139
3187,[np.float32(3.0)],[np.float32(24.0)],127
3188,[np.float32(2.0)],[np.float32(39.0)],745
3189,[np.float32(8.0)],[np.float32(55.0)],728
3190,[np.float32(11.0)],[np.float32(15.0)],751
3191,[np.float32(3.0)],[np.float32(34.0)],157
3192,[np.float32(4.0)],[np.float32(10.0)],227
3193,[np.float32(2.0)],[np.float32(39.0)],697
3194,[np.float32(2.0)],[np.float32(39.0)],748
3195,[np.float32(8.0)],[np.float32(69.0)],39
3196,[np.float32(3.0)],[np.float32(17.0)],550
3197,[np.float32(4.0)],[np.float32(10.0)],298
3198,[np.float32(4.0)],[np.float32(26.0)],751
3199,[np.float32(4.0)],[np.float32(31.0)],96
3200,[np.float32(11.0)],[np.float32(64.0)],129
3201,[np.float32(4.0)],[np.float32(10.0)],112
3202,[np.float32(7.0)],[np.float32(18.0)],54
3203,[np.float32(4.0)],[np.float32(30.0)],313
3204,[np.float32(4.0)],[np.float32(10.0)],616
3205,[np.float32(11.0)],[np.float32(64.0)],384
3206,[np.float32(4.0)],[np.float32(56.0)],126
3207,[np.float32(4.0)],[np.float32(10.0)],532
3208,[np.float32(2.0)],[np.float32(39.0)],336
3209,[np.float32(7.0)],[np.float32(18.0)],79
3210,[np.float32(4.0)],[np.float32(56.0)],128
3211,[np.float32(11.0)],[np.float32(64.0)],95
3212,[np.float32(4.0)],[np.float32(10.0)],395
3213,[np.float32(2.0)],[np.float32(46.0)],136
3215,[np.float32(7.0)],[np.float32(40.0)],642
3216,[np.float32(11.0)],[np.float32(64.0)],287
3217,[np.float32(11.0)],[np.float32(64.0)],178
3218,[np.float32(3.0)],[np.float32(7.0)],44
3219,[np.float32(4.0)],[np.float32(30.0)],76
3220,[np.float32(11.0)],[np.float32(64.0)],248
3222,[np.float32(6.0)],[np.float32(22.0)],750
3223,[np.float32(11.0)],[np.float32(64.0)],746
3224,[np.float32(11.0)],[np.float32(52.0)],743
3226,[np.float32(4.0)],[np.float32(30.0)],750
3227,[np.float32(3.0)],[np.float32(6.0)],164
3228,[np.float32(4.0)],[np.float32(10.0)],12
3229,[np.float32(4.0)],[np.float32(30.0)],218
3230,[np.float32(4.0)],[np.float32(30.0)],750
3231,[np.float32(11.0)],[np.float32(64.0)],749
3232,[np.float32(4.0)],[np.float32(10.0)],497
3233,[np.float32(11.0)],[np.float32(64.0)],357
3234,[np.float32(4.0)],[np.float32(30.0)],749
3235,[np.float32(11.0)],[np.float32(64.0)],751
3236,[np.float32(11.0)],[np.float32(15.0)],337
3237,[np.float32(3.0)],[np.float32(42.0)],747
3238,"[np.float32(5.0), np.float32(8.0)]","[np.float32(20.0), np.float32(32.0)]",689
3239,[np.float32(5.0)],[np.float32(32.0)],40
3240,[np.float32(4.0)],[np.float32(10.0)],2
3241,[np.float32(5.0)],[np.float32(32.0)],49
3242,"[np.float32(2.0), np.float32(11.0)]","[np.float32(39.0), np.float32(64.0)]",194
3243,[np.float32(4.0)],[np.float32(10.0)],750
3244,[np.float32(4.0)],[np.float32(10.0)],664
3245,[np.float32(7.0)],[np.float32(18.0)],349
3247,[np.float32(11.0)],[np.float32(64.0)],28
3248,[np.float32(4.0)],[np.float32(14.0)],746
3249,[np.float32(8.0)],[np.float32(25.0)],13
3250,"[np.float32(2.0), np.float32(5.0)]","[np.float32(32.0), np.float32(66.0)]",70
3251,[np.float32(5.0)],[np.float32(32.0)],60
3252,[np.float32(5.0)],[np.float32(32.0)],45
3253,[np.float32(7.0)],[np.float32(8.0)],548
3254,[np.float32(4.0)],[np.float32(10.0)],74
