,sectors,industries,num_observations
1876,[np.float32(4.0)],[np.float32(14.0)],715
1878,[np.float32(4.0)],[np.float32(31.0)],20
1879,[np.float32(8.0)],[np.float32(25.0)],748
1884,[np.float32(3.0)],[np.float32(4.0)],747
1885,[np.float32(3.0)],[np.float32(60.0)],751
1886,[np.float32(1.0)],[np.float32(41.0)],296
1887,[np.float32(3.0)],[np.float32(7.0)],59
1890,[np.float32(3.0)],[np.float32(5.0)],751
1897,[np.float32(6.0)],[np.float32(22.0)],708
1898,[np.float32(8.0)],[np.float32(2.0)],751
1901,[np.float32(11.0)],[np.float32(62.0)],366
1902,[np.float32(12.0)],[np.float32(19.0)],747
1906,[np.float32(3.0)],[np.float32(60.0)],327
1907,[np.float32(7.0)],[np.float32(40.0)],11
1909,[np.float32(2.0)],[np.float32(66.0)],371
1910,[np.float32(7.0)],[np.float32(18.0)],751
1912,[np.float32(4.0)],[np.float32(30.0)],95
1915,[np.float32(7.0)],[np.float32(8.0)],351
1918,[np.float32(7.0)],[np.float32(18.0)],219
1919,[np.float32(3.0)],[np.float32(43.0)],747
1922,[np.float32(8.0)],[np.float32(45.0)],750
1923,[np.float32(11.0)],[np.float32(15.0)],61
1925,[np.float32(7.0)],[np.float32(18.0)],749
1926,[np.float32(3.0)],[np.float32(5.0)],589
1927,[np.float32(4.0)],[np.float32(14.0)],570
1928,[np.float32(8.0)],[np.float32(11.0)],746
1929,[np.float32(7.0)],[np.float32(18.0)],739
1932,[np.float32(11.0)],[np.float32(64.0)],380
1936,[np.float32(8.0)],[np.float32(11.0)],748
1938,[np.float32(7.0)],[np.float32(38.0)],143
1939,[np.float32(11.0)],[np.float32(15.0)],746
1941,[np.float32(11.0)],[np.float32(15.0)],481
1944,[np.float32(8.0)],[np.float32(23.0)],30
1945,[np.float32(2.0)],[np.float32(66.0)],11
1946,[np.float32(4.0)],[np.float32(56.0)],278
1947,[np.float32(6.0)],[np.float32(22.0)],750
1949,[np.float32(3.0)],[np.float32(60.0)],550
1951,[np.float32(4.0)],[np.float32(10.0)],442
1953,[np.float32(4.0)],[np.float32(14.0)],691
1954,"[np.float32(8.0), np.float32(11.0)]","[np.float32(15.0), np.float32(23.0)]",751
1955,[np.float32(6.0)],[np.float32(22.0)],751
1956,[np.float32(7.0)],[np.float32(18.0)],749
1957,[np.float32(8.0)],[np.float32(2.0)],743
1958,[np.float32(3.0)],[np.float32(4.0)],635
1960,[np.float32(11.0)],[np.float32(62.0)],748
1962,[np.float32(8.0)],[np.float32(45.0)],193
1963,[np.float32(3.0)],[np.float32(43.0)],725
1967,[np.float32(8.0)],[np.float32(2.0)],277
1969,[np.float32(4.0)],[np.float32(56.0)],278
1973,[np.float32(2.0)],[np.float32(39.0)],129
1974,[np.float32(3.0)],[np.float32(6.0)],75
1978,[np.float32(11.0)],[np.float32(64.0)],748
1979,[np.float32(11.0)],[np.float32(64.0)],54
1981,[np.float32(11.0)],[np.float32(15.0)],391
1982,[np.float32(2.0)],[np.float32(66.0)],749
1983,[np.float32(3.0)],[np.float32(24.0)],747
1984,[np.float32(3.0)],[np.float32(4.0)],747
1988,[np.float32(7.0)],[np.float32(18.0)],750
1989,[np.float32(8.0)],[np.float32(23.0)],748
1991,[np.float32(6.0)],[np.float32(53.0)],464
1992,[np.float32(4.0)],[np.float32(30.0)],751
1994,[np.float32(2.0)],[np.float32(39.0)],49
1995,[np.float32(4.0)],[np.float32(26.0)],503
1997,"[np.float32(3.0), np.float32(6.0)]","[np.float32(22.0), np.float32(60.0)]",410
1999,[np.float32(4.0)],[np.float32(10.0)],743
2000,[np.float32(4.0)],[np.float32(56.0)],749
2002,[np.float32(2.0)],[np.float32(66.0)],137
2004,[np.float32(3.0)],[np.float32(33.0)],121
2006,[np.float32(7.0)],[np.float32(18.0)],747
2007,[np.float32(8.0)],[np.float32(21.0)],746
2009,[np.float32(7.0)],[np.float32(58.0)],751
2020,[np.float32(3.0)],[np.float32(60.0)],751
2021,[np.float32(11.0)],[np.float32(15.0)],741
2023,[np.float32(6.0)],[np.float32(53.0)],10
2026,[np.float32(4.0)],[np.float32(30.0)],750
2028,[np.float32(2.0)],[np.float32(39.0)],346
2029,[np.float32(11.0)],[np.float32(64.0)],678
2032,[np.float32(11.0)],[np.float32(64.0)],747
2036,[np.float32(4.0)],[np.float32(14.0)],24
2039,[np.float32(6.0)],[np.float32(53.0)],375
2042,[np.float32(6.0)],[np.float32(53.0)],30
2044,[np.float32(4.0)],[np.float32(31.0)],478
2046,[np.float32(11.0)],[np.float32(64.0)],751
2056,[np.float32(4.0)],[np.float32(14.0)],273
2057,[np.float32(8.0)],[np.float32(69.0)],91
2059,[np.float32(2.0)],[np.float32(66.0)],57
2060,[np.float32(3.0)],[np.float32(7.0)],483
2062,[np.float32(6.0)],[np.float32(22.0)],102
2064,[np.float32(4.0)],[np.float32(3.0)],744
2066,[np.float32(7.0)],[np.float32(18.0)],750
2068,[np.float32(2.0)],[np.float32(66.0)],747
2069,[np.float32(3.0)],[np.float32(34.0)],11
2070,[np.float32(1.0)],[np.float32(12.0)],93
2071,[np.float32(12.0)],[np.float32(71.0)],751
2072,[np.float32(4.0)],[np.float32(9.0)],743
2073,"[np.float32(4.0), np.float32(8.0)]","[np.float32(29.0), np.float32(30.0), np.float32(45.0)]",740
2074,[np.float32(8.0)],[np.float32(69.0)],14
2078,[np.float32(8.0)],[np.float32(49.0)],334
2083,[np.float32(7.0)],[np.float32(18.0)],357
2084,[np.float32(8.0)],[np.float32(69.0)],100
2085,[np.float32(2.0)],[np.float32(46.0)],319
2086,[np.float32(6.0)],[np.float32(53.0)],275
2089,[np.float32(4.0)],[np.float32(14.0)],746
2097,[np.float32(4.0)],[np.float32(9.0)],745
2106,[np.float32(4.0)],[np.float32(31.0)],341
2107,[np.float32(8.0)],[np.float32(69.0)],22
2109,[np.float32(4.0)],[np.float32(14.0)],750
2111,"[np.float32(4.0), np.float32(11.0)]","[np.float32(15.0), np.float32(26.0)]",41
2113,[np.float32(3.0)],[np.float32(43.0)],750
2115,[np.float32(3.0)],[np.float32(7.0)],750
2116,[np.float32(3.0)],[np.float32(60.0)],749
2117,[np.float32(11.0)],[np.float32(15.0)],751
2119,[np.float32(6.0)],[np.float32(53.0)],738
2122,[np.float32(7.0)],[np.float32(8.0)],208
2123,[np.float32(3.0)],[np.float32(17.0)],375
2126,[np.float32(7.0)],[np.float32(38.0)],751
2129,[np.float32(4.0)],[np.float32(56.0)],686
2130,[np.float32(8.0)],[np.float32(20.0)],749
2134,[np.float32(2.0)],[np.float32(66.0)],741
2135,[np.float32(7.0)],[np.float32(8.0)],393
2136,[np.float32(11.0)],[np.float32(62.0)],472
2137,[np.float32(3.0)],[np.float32(43.0)],749
2138,[np.float32(11.0)],[np.float32(64.0)],749
2139,[np.float32(8.0)],[np.float32(69.0)],550
2140,[np.float32(7.0)],[np.float32(38.0)],551
2143,[np.float32(1.0)],[np.float32(12.0)],89
